,Season,Date,Odds,Winner,Loser,Outcome,Point Differential
0,2007-08,2007-11-16,2.75,1610612757,1610612764,False,-19
1,2007-08,2007-11-16,1.4878048780487805,1610612764,1610612757,True,19
2,2007-08,2007-11-16,4.0,1610612760,1610612766,False,-16
3,2007-08,2007-11-16,1.2777777777777777,1610612766,1610612760,True,16
4,2007-08,2007-11-16,1.434782608695652,1610612762,1610612754,False,-20
5,2007-08,2007-11-16,2.9,1610612754,1610612762,True,20
6,2007-08,2007-11-16,1.6451612903225805,1610612748,1610612751,True,4
7,2007-08,2007-11-16,2.35,1610612751,1610612748,False,-4
8,2007-08,2007-11-16,1.526315789473684,1610612740,1610612750,True,18
9,2007-08,2007-11-16,2.6,1610612750,1610612740,False,-18
10,2007-08,2007-11-16,3.85,1610612737,1610612749,False,-9
11,2007-08,2007-11-16,1.2985074626865671,1610612749,1610612737,True,9
12,2007-08,2007-11-16,10.5,1610612763,1610612742,False,-3
13,2007-08,2007-11-16,1.0666666666666667,1610612742,1610612763,True,3
14,2007-08,2007-11-16,1.4,1610612756,1610612745,True,10
15,2007-08,2007-11-16,3.1,1610612745,1610612756,False,-10
16,2007-08,2007-11-16,9.5,1610612752,1610612743,False,-32
17,2007-08,2007-11-16,1.0769230769230769,1610612743,1610612752,True,32
18,2007-08,2007-11-16,1.625,1610612741,1610612746,True,19
19,2007-08,2007-11-16,2.4,1610612746,1610612741,False,-19
20,2007-08,2007-11-17,3.2,1610612744,1610612761,True,6
21,2007-08,2007-11-17,1.3846153846153846,1610612761,1610612744,False,-6
22,2007-08,2007-11-17,1.8333333333333335,1610612738,1610612753,False,-2
23,2007-08,2007-11-17,2.0,1610612753,1610612738,True,2
24,2007-08,2007-11-17,1.4878048780487805,1610612765,1610612758,False,-10
25,2007-08,2007-11-17,2.75,1610612758,1610612765,True,10
26,2007-08,2007-11-17,2.9,1610612741,1610612747,False,-28
27,2007-08,2007-11-17,1.434782608695652,1610612747,1610612741,True,28
28,2007-08,2007-11-18,2.9,1610612757,1610612766,False,-9
29,2007-08,2007-11-18,1.434782608695652,1610612766,1610612757,True,9
30,2007-08,2007-11-18,2.95,1610612760,1610612763,False,-17
31,2007-08,2007-11-18,1.425531914893617,1610612763,1610612760,True,17
32,2007-08,2007-11-18,2.0,1610612753,1610612740,True,7
33,2007-08,2007-11-18,1.8333333333333335,1610612740,1610612753,False,-7
34,2007-08,2007-11-18,6.5,1610612751,1610612762,False,-27
35,2007-08,2007-11-18,1.1428571428571428,1610612762,1610612751,True,27
36,2007-08,2007-11-19,2.9,1610612755,1610612764,False,-15
37,2007-08,2007-11-19,1.434782608695652,1610612764,1610612755,True,15
38,2007-08,2007-11-19,3.4,1610612749,1610612739,True,4
39,2007-08,2007-11-19,1.3448275862068966,1610612739,1610612749,False,-4
40,2007-08,2007-11-19,1.8,1610612747,1610612754,True,20
41,2007-08,2007-11-19,2.05,1610612754,1610612747,False,-20
42,2007-08,2007-11-19,1.4,1610612759,1610612737,True,12
